iter	Passed	Remaining
0	5	502
1	10	493
2	14	477
3	18	435
4	22	426
5	26	413
6	30	402
7	34	395
8	38	392
9	43	390
10	48	388
11	53	389
12	56	378
13	60	372
14	64	366
15	68	360
16	72	354
17	76	349
18	80	343
19	84	337
20	88	331
21	92	326
22	96	322
23	100	317
24	104	313
25	108	307
26	112	303
27	116	298
28	120	294
29	124	289
30	128	285
31	131	280
32	135	275
33	139	271
34	143	266
35	147	262
36	151	257
37	155	253
38	159	249
39	163	244
40	167	241
41	169	233
42	173	229
43	176	225
44	180	220
45	184	216
46	188	212
47	193	209
48	198	206
49	201	201
50	206	198
51	209	193
52	213	189
53	217	185
54	221	181
55	225	176
56	229	173
57	234	169
58	238	165
59	240	160
60	243	155
61	245	150
62	247	145
63	249	140
64	251	135
65	253	130
66	255	125
67	257	120
68	258	116
69	260	111
70	261	106
71	263	102
72	264	97
73	265	93
74	266	88
75	268	84
76	269	80
77	270	76
78	271	72
79	272	68
80	273	64
81	274	60
82	275	56
83	276	52
84	277	49
85	279	45
86	279	41
87	280	38
88	281	34
89	282	31
90	283	28
91	284	24
92	285	21
93	286	18
94	287	15
95	288	12
96	288	8
97	289	5
98	290	2
99	291	0
