iter	Passed	Remaining
0	213	213319
1	216	108145
2	221	73669
3	225	56030
4	228	45399
5	231	38287
6	240	34072
7	243	30149
8	247	27290
9	249	24717
10	251	22575
11	252	20763
12	253	19235
13	254	17933
14	256	16817
15	257	15856
16	259	14984
17	262	14338
18	264	13633
19	265	13011
20	266	12441
21	268	11913
22	269	11431
23	270	10994
24	271	10598
25	273	10230
26	276	9946
27	278	9655
28	279	9369
29	280	9082
30	281	8809
31	282	8551
32	284	8332
33	286	8152
34	288	7941
35	289	7748
36	290	7559
37	291	7379
38	292	7209
39	294	7071
40	295	6913
41	296	6761
42	297	6617
43	298	6492
44	300	6379
45	301	6252
46	302	6131
47	303	6014
48	304	5903
49	305	5797
50	306	5695
51	306	5596
52	307	5500
53	308	5407
54	310	5327
55	311	5245
56	313	5187
57	314	5112
58	316	5039
59	317	4967
60	318	4895
61	319	4830
62	320	4765
63	321	4697
64	322	4633
65	323	4571
66	323	4510
67	324	4451
68	325	4395
69	328	4358
70	328	4304
71	329	4251
72	330	4199
73	331	4149
74	332	4100
75	333	4057
76	334	4011
77	335	3965
78	336	3921
79	337	3877
80	338	3834
81	338	3794
82	339	3750
83	340	3711
84	343	3697
85	344	3662
86	345	3627
87	346	3593
88	347	3560
89	348	3527
90	349	3494
91	350	3461
92	351	3429
93	352	3398
94	353	3367
95	354	3337
96	355	3307
97	357	3291
98	358	3262
99	359	3233
100	360	3206
101	361	3181
102	362	3156
103	363	3132
104	364	3107
105	365	3083
106	366	3060
107	367	3037
108	368	3015
109	369	2992
110	372	2986
111	373	2964
112	374	2943
113	376	2922
114	377	2901
115	378	2881
116	378	2860
117	380	2840
118	381	2821
119	382	2801
120	383	2783
121	383	2763
122	384	2744
123	386	2730
124	388	2721
125	389	2704
126	390	2687
127	392	2671
128	393	2654
129	394	2638
130	395	2621
131	396	2605
132	397	2589
133	398	2574
134	399	2559
135	400	2544
136	401	2532
137	403	2517
138	404	2503
139	405	2488
140	406	2474
141	406	2458
142	407	2444
143	408	2430
144	409	2416
145	410	2403
146	411	2390
147	412	2377
148	414	2364
149	417	2368
150	419	2358
151	420	2346
152	421	2333
153	422	2322
154	423	2310
155	424	2298
156	425	2286
157	427	2275
158	428	2264
159	429	2253
160	432	2253
161	434	2245
162	435	2236
163	438	2235
164	440	2228
165	441	2219
166	442	2209
167	444	2200
168	448	2204
169	449	2195
170	450	2184
171	451	2174
172	452	2164
173	453	2153
174	454	2142
175	455	2131
176	456	2121
177	457	2110
178	458	2101
179	459	2092
180	461	2087
181	462	2080
182	463	2070
183	464	2062
184	465	2052
185	466	2043
